Summary,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Rate
"Singapore Airlines (SQ), may be one of the largest airlines in the world but its customer service is appaling. Our flight was canceled and instead of 4 hours of stopover in Singapore, we now have 16 hours to wait! And nothing ! No excuse, no compensation! What company treats its customers like this ? I called customer service several times and the third time I found a person who was very rude, like ""4 p.m., you have time to visit the city, what are you complaining about?"" . We will arrive before midnight, we leave after 3 p.m. We will have to take a hotel and the company won't even compensate us. one of the best airlines in the world? Really ?",0.071,0.786,0.143,0.9105,0.9078146815299988,0.07951366901397705,0.012671721167862415,1
"Yesterday ( 6 March ) my flight was canceled by the Singapore airlines . After many calls they said that you bought the ticket through booking.com and call them and they should resolve this issue. and singapore airlines didn't want to talk to me anymore. 
I called booking.com and they tell me to call to Singapore airlines.I explain to them that Singapore airlines does not want to help me because I took the tickets through you. 
This went on for several hours. a few hours later Singapore airlines gave me another flight in another state( I bought ticket from JFK NY State , they give EWR NJ ; ) it will cost by taxi around 300$ from NY to Newark 
no matter how bad it was, I agreed and thought that I would fly the next day. but... when I started registering I noticed a mistake they made. 
They gave me a two flights : 
first from EWR - SQ 21	•	7 March 9:35 AM- 8 MARCH 5:25 PM Singapore airport .
 But my second flight was SQ 728  8 MARCH 
 9:50 AM from Singapore .
 How it is possible ? if the plane arrives in Singapore on March 8 IN THE EVENING 5:25 pm and second flight has departure is IN THE MORNING on that day?!!!!
 I called again to booking .com they send me again to Singapore airlines , Singapore airlines send me again to booking ( Singapore airlines did not want to do anything for me. 
if they wanted they would solve this problem!!!!
 I had a similar situation with Emirates airlines , my ticket also was booked from booking .com . 
Emirates  resolved same problem  quickly without any difficulties and with many apologies. 
But  Singapore airlines didn’t even apologize and most importantly, it didn’t want to help solve the problem that iT SELF CREATED .  
After many calls to booking.com representative told: WE DO NOT have any flight for your second connection. When I asked : What I need to do , I need to fly , I bought ticket . He said me ….. call to Singapore airlines . 
I explained again and again Singapore airlines send me to your company.
But representative said me : we can not do you second flight. Call to Singapore airlines. My vacation was ruined and I was very upset . I will never buy tickets through Booking.com again and never through Singapore airlines also. 
Inhumane people work here who do not want to solve the problem that they themselves created.
 This is a real mockery of a person . A SHAME!!! . I will write everywhere and tell everyone about such unfair treatment of people. I buy another ticket from another company , I spend my nervous, money , my time !!! 
A SHAME!!!
Never again with booking.com and Singapore airlines . NEVER",0.122,0.822,0.057,-0.9852,0.753402590751648,0.21927188336849213,0.02732555754482746,1
"What has happened to Singapore Airlines? I used to enjoy flying with this airline. My last flight was abominable. Flights were delayed. The food was terrible, just a doughy bit of pizza for dinner. The staff stressed. The seats on the plane were very cramped and im not even a large build person. Not the quality we used to expect from this airline.",0.111,0.841,0.048,-0.4939,0.9533557891845703,0.040066543966531754,0.006577658466994762,2
"I am disabled and had a VERY BAD experience with Sydney Disability services so at check in desk lady offered me to upgrade from economy to premium for $380 - she said they had lots of seats and she checked on the phone with the relevant department. She took my money on debit card and issued me a new boarding pass. On the way to the aircraft I was called back and told that the fare I originally paid did not allow for upgrade. I paid the fee offered by Singapore Airline internet - it did not say 'if you order through us we will block any upgrades' or 'if you want to upgrade please pay us more money rather than the quoted price'.
This was bizarre and now they tell me they will send my money back within 10 working days - so basically they 'stole' $380 from me for 10 days. I am a regular flyer with them and, sadly, have 3 more flights already booked between now and June - but they will be the LAST!!!
And guess what customer services don't give a dam!!!",0.068,0.916,0.015,-0.8191,0.861841082572937,0.12330596894025803,0.014852904714643955,1
"Well I have flown to Australia quite a few times with other airlines. Also flown many counties around the world. But I have a fear of heights and flying. I just try and keep my mind off that I'm in the air. Most flight will get a bit of turbulence now and then. It can't be helped, but both the 13hr flight from Heathrow to Singapore. Then the connecting flight from Singapore to Sidney had severe turbulence for 90% of each flight. It was literally like travelling down a bumpy road for the whole journey on both flights with the patches of extra bad turbulence. I spent the whole 2 flights terrified and shaking. Not what you want when flying for 20hrs with a fear of flying. I mean I know turbulence can't be helped, but how could I possible have consistent permanent turbulence for basically the entirety of 2 flight from one side of the world to the other. I don't know if you teach your pilots to fly a certain way, or maybe take short cuts somehow. But it was one of the most terrifying couple of days in my life. And the worst thing about it is I have to fly back with them in 2 weeks",0.175,0.792,0.033,-0.9883,0.9129027724266052,0.07792782038450241,0.009169443510472775,1
"Their Premium Economy cabin is a RIP-OFF. We always fly Premium Economy class when traveling international due to the distance. Very sad to report that we were very disappointed with the dimension of the seat. Due to the poor design where the tray is integrated into the arm rest, so the dimension they show on their site is BOGUS. The arm rest takes up at least 2 inches of the seat leaving you with  the actual seat size that is no larger than their economy class seat. DO NOT PAY the extra $800-$1000 extra for SIA PE Cabin. The footrest does not extend properly, and the seat DOES NOT recline like premium economy in other airlines. The service on the slight from SFO-SIN was great (good attentive stewardess due to higher ratio of staff to passengers, the bathroom was clean and they were generous with their food and beverage/snack services) but on the return flight it was truly a plain old economy class service. In addition to that, they were long delays while we were in transit which resulted in my missing my reunion luncheon with classmates whom I have not seen in over 40 years. The customer service of ground crew is not up the the SIA golden class services they promote. During the over 2-3 hour delay, we were in the waiting area which has no water or bathroom facilities. When I asked the crew how long the delay would be (we arrived early at 0730 for our 1100 flight, missing breakfast etc. ) I was told she has no information to share. Asked if there is sufficient time to leave the area to grab food and do a bathroom break (this was at 1230), was told she has no idea... 
All in all not worth the extra $$$$ and given the mediocre ground service, and the delays etc. I would not use them again, when there are so many other great options out there for premium economy cabins with other airlines. Cathay Pacific is top of our list for Asian travel, Lufthansa, Air France, United and definitely Virgin Air. We heard so much about SIA and decided to pay the HUGE difference in cost this time around. NEVER AGAIN.",0.087,0.821,0.091,0.8182,0.7812216877937317,0.18101990222930908,0.037758342921733856,1
"SQ did lose both of our luggages and they only found 1 out of 2. They were provided with all information like  luggage picture, flight number, Baggage Claim, AirTag information (showing clearly the Location in Terminal 2 at Singapore Airport. Service is very poorly/not existant. No updates besides automated mails stating they are „trying“ to find the luggage. Internal communication only via mail - therefore very slow. No service orientation. SQ may be a good carrier if everything works out well, but they have no customer service if help is needed. They are requiring me to spend time on my phone in my holidays and are not doing their job by finding the missing luggage. I hope some people are re-considering their choice of airline carrier in the future towards a more customer-centric airline carriers.",0.075,0.795,0.131,0.7984,0.7842187881469727,0.18649587035179138,0.02928539365530014,1
flight was on time. star alliance members have designated line and boarded after business class. flight attendant offered to place my luggage inside overhead bin! served hot full meal with 2 options even though it was a 3 hour flight. the pork with rice was actually tasty. pillow and blanket were provided even for economy class. attentive and polite service. highly recommend.,0.0,0.949,0.051,0.474,0.002924236236140132,0.040330734103918076,0.9567449688911438,5
"I'd heard many good things about Singapore Airlines so was looking forward to travelling with them but was sadly disappointed. We flew economy in a 777 and although we paid for extra leg room it still felt very cramped. The seat was so uncomfortable, the noisyest flight I can recall ment there was no chance of being able to grab a couple of hours sleep but the worst thing for me was the entertainment screen was not working despite 2 resets I was left staring at the bulkhead for 13 and a half hours. The lead stewardess took my E mail address and promised compensation for the broken screen but a week on an I've heard nothing from them. Hardly one of the world's best airlines I'm afraid.",0.165,0.721,0.114,-0.8689,0.8640711307525635,0.11298392713069916,0.022944917902350426,3
"Paid for a Premium Economy ticket,  an extra $1000 per ticket. Narrow seats only wider armrest. Footrest not supportive and very uncomfortable during trip. 
To top it of they put us in economy from Singapore to Hanoi Vietnam.
No lounge for Premium Economy, only Business class.
Overall would not recommend the extra cost.",0.157,0.812,0.031,-0.7423,0.8902251720428467,0.09818454831838608,0.011590258218348026,2
Flight SQ 241 - I was treated so rudely by the flight staff when we landed in Singapore. I had booked wheelchair assistance for my 76 year old dad has acute asthma and hip problems and my 73 year old mum with both knee replacements. I was told I need to walk to the buggy area as there didn’t have the staff to assist with the wheelchair. My dad ended up having an asthma attack and my both my parents were distress with high blood pressure. After such a long day for Dehli to Singapore we had to catch a flight to Sydney with two unwell highly distressed parent where no one cared to give them wheelchairs or any empathy. I am utterly disgusted with the way I was spoken to by the flight crew (a guy - I don’t remember his name) however the ground staff was not very helpful either.,0.168,0.814,0.017,-0.9728,0.9558578133583069,0.039357054978609085,0.004785091616213322,1
"I booked a round ticket from singapore airlines. I Got the ticket date mixed up so I needed to change the date for return but thought of cancelling the ticket and rebooking it. Got my ticket cancelled online now the problem arises, ticket said it would only cost me $390 to cancel the ticket but charged me $440. When I raised the issue to the Singapore airlines customer service they would say it is actually $440, I  argued about their policy with them and told them I still have cancelled ticket with cancelling fee written on it. Then the customer service apologise for the inconvenience and took my details. Now here is the funny part they told me they would call me but guess what ? got no calls or email regarding the issue. At this point I give up. I know it's only $50 but it's about the honesty of the company. They say something and do another thing. What a bunch of bull people running the business. Either be clear with your policy and mention the right amount or don't bull people about escalating the issue to the senior and never call back. Customer service as it's worst. Never recommend anyone to book ticket from Singapore airlines and cancel it. They will rip you off.",0.156,0.782,0.062,-0.9629,0.8975569605827332,0.09306256473064423,0.00938046257942915,1
"Although flying with Singapore Airlines is comfortable and convenient, we would like to mention that their staff are what makes them exceptional. 
We had a difficult situation and they handled it with patience, kindness and effectiveness. They didn't stop until they found a solution. We want to thank to the staff in general but very much in particular to Thuong and Hang, from the ground staff (Hanoi). Thank you very much! We will definitely use Singapore service whenever possible in the future. You got two new loyal customers!",0.017,0.749,0.234,0.9564,0.002169102430343628,0.017530756071209908,0.9803001880645752,5
"I was somewhat disappointed by the premium economy experience on Singapore airlines. Other than slightly more legroom and a slightly wider seat, you may find that paying too much extra compared to Economy is not worth it, as the rest of the service is whatever is applicable for all economy passengers. By comparison, when traveling on Virgin Atlantic premium economy, I experienced a much higher level of service in their equivalent offerring, including better seats, welcome drink, amenity pack and tailored service for the premium economy cabin.",0.05,0.884,0.066,0.3457,0.4622228145599365,0.38948559761047363,0.14829163253307343,3
"I write this review as an appraisal for your (SIA) staff for her good customer service, her name is Ms Vanessa.

Today, 22nd Feb 2024 around 6pm at SIA customer service counter at T3. 

I have some issues with my flight ticket and she handle it the issue with patiently and smile even though it was quite overwhelming due to peak hours. 

She make my day because my issues settled. 

I like to say a big thank you to her and Singapore Airlines to have a good staff like her. 

Keep it up Singapore Airlines for the good customer service.

Regards
Abdul Aziz",0.0,0.83,0.17,0.9493,0.010199420154094696,0.07124756276607513,0.9185529947280884,5
"Singapore Airlines use to be one of my fav airlines to travel with but since my last flight of over 5 years ago, alot has changed.   I get that I am travelling economy and not alot of luxury provided, however, I was extremely uncomfortable, feeling cramped against the window seat, and an uncomfortable seat as well, plus the food for not enjoyable at all - most I did not eat.   The hot towels are still provided at the beginning of the flight, but if you want any extras you have to ask - it is no longer an automatic handout to passengers anymore.  
I paid $$ due to having to change flight details so the cost of this flight did not really match what I got out of it.",0.102,0.837,0.062,-0.8085,0.742544949054718,0.22099719941616058,0.03645792230963707,3
"I don't expect a great deal of comfort when flying economy and in this regard the flight met my expectations. The seat was extremely uncomfortable and cramped. I am a small person and even so the seat and leg room did not afford any comfort. I was allocated a seat amongst families with three infants, which was unfair to me and the families. Service was very poor. The cabin crew were not interested in passengers and systems were disorganized. My husband was skipped at breakfast time ... simply ignored. He thought they must be serving the other row only and going to come back to him. He had to request breakfast in the end. It was difficult to get water. I booked through star alliance network which made managing the Singapore Airlines part of my journey, with seat select etc difficult. I will not fly Singapore Airlines again.",0.154,0.814,0.032,-0.9548,0.9158526659011841,0.07541106641292572,0.008736269548535347,1
"we,have travelled with sq  many times , and always have excellent service until this last one on 14 February.   My husband had booked the cook , and ordered steak, which had blooded pouring out of it when he got it. He complained to the FA, and it was taken away  for about  10 minuites  and then returned to him in much the same condition.The only other thing they could offer him was 3  tiny  pieces of chicken in horrendously hot sauce, that he couldnt eat. He ended up with  a couple of crackers  and a slice of cheese, this was his business class meal.  I had some chicken satee , which tasted  fine , until 10 minutes later I was very sick, spent some time in the  toilet.  Had to ring several times before our male FA answered  the call button. These  flights cost $10000.00, so not happy jan.",0.082,0.882,0.036,-0.7887,0.7302323579788208,0.21613046526908875,0.053637146949768066,1
"Travelled from Man to BKK via Singapore and return. Outbound flight was on an Airbus 590 with the skewed sleeping arrangement which I found to be most uncomfortable. Although the seat was wide it lacked support for the lower back and I thought that the TV screen was much too close to the seat. The flight from Singapore to BKK on the B787 was little better as the seat was very narrow and the partition dividing the seats made it feel very claustrophobic. Again, I found there to be a lack of lower back support. This time the TV screen was further away. The return flights were very similar.
However, where Singapore airlines does score highly is in the way that the cabin crew look after the passengers; service was superb and nothing was too much trouble. Food also was so much better than any other airline we have travelled on, especially the Book The Cook option. Also, the lounges, with the exception of the one in Manchester, were first class with an excellent choice of food available. Despite my criticism of the seats I would definitely fly Singapore again.",0.059,0.828,0.113,0.9048,0.06131218373775482,0.2554154694080353,0.6832723617553711,4
"The trouble with being voted the best is that the only way is down. Such seems to be happening to Singapore Airlines. 

Let’s begin with the aircraft. It was an A380. It must have been one of the older ones in the fleet. My seat in premium economy was extremely uncomfortable. It seemed to be worn so the padding had become flattened. I had to sit on a cushion to achieve any kind of comfort on the almost 10 hour flight. Even then, my bottom hurt for a day or so afterwards.

Next, the food offering. Bland, tasteless and overall boring just about sums it up. My wife is gluten intolerant and she was offered virtually the same menu for both meals. Disappointing.

Finally, the service. It seemed to me that the crew were anxious to get home to Singapore. They didn’t seem too interested in the passenger client at all. My wife asked three times for some water…..it never arrived. Service was inconsistent throughout the cabin as I saw one side paid a lot more attention than the other.

On the plus side (there are not many), the flight was on time. 

We are on our return leg to the UK next week. I hope they can do better.",0.083,0.851,0.066,-0.4188,0.7932652831077576,0.17406001687049866,0.032674700021743774,2
"Our past experiences with the airline was soog good that we just took it for granted it will always be excellent. But... competition from the Gulf states seesm to have made it tough for SQ to stay on top. Staff still perfect, but meals and snack available during a long flight ? hum... We'll fly again with SQ, but they need to improve (a bit)",0.018,0.793,0.19,0.8793,0.041922446340322495,0.2072669118642807,0.7508106827735901,3
"I have flown many business class flights on 5-star airlines such as Cathay Pacific, Qatar Airways, and Korean Air. However, on long-haul flights, Singapore Airlines' business class B777-300ER has great service, seats, and food onboard. The flight crew is very friendly. They care about me and respond quickly if I request something. The food is really tasty, especially the Western style. I ate lobster thermidor, and it is one of the best foods I have ever eaten on an aeroplane. Besides that, their hard product is the top reason why I chose Singapore Airlines. I chose 11K for my seat on this flight. The bulkhead seat provides a spacious bed, and it is wide enough that my companion and I can sit together.",0.011,0.855,0.134,0.949,0.0016382763860747218,0.0199052132666111,0.9784564971923828,5
"After spending a total of 2 hours on the phone and rebooking our tickets (from scratch) 3 times, because their system was having problems, the agent I spoke with said she’d put us in for an upgrade. Then today after ANOTHER 2 hours and another rebooking, the same agent said she didn’t say that and it “wasn’t possible”. Had I known how much time I was going to lose on this I would have just picked another airline. I definitely will next time!",0.072,0.894,0.034,-0.4574,0.703874409198761,0.25037795305252075,0.04574756696820259,1
"What the hell happened to Singapore Airlines!? Used to be superb and I happily paid a premium over other airlines expecting a comfortable and enjoyable experience. 

Economy flight from Singapore to Melbourne was absolute torture. Incredibly cramped cabin, genuinely felt much worse than a Ryanair type configuration... simply not suitable for an 8 hour flight. Food was atrocious, completely inedible. Absolutely stunned they are charging top prices for this rubbish. Took a couple of budget Jetstar internal flights whilst in Australia and they put Singapore to shame.

I  had actually upgraded the long first leg, Manchester to Singapore to business class...food and service was top class for this and I actually found the seat pretty comfortable for sitting...but as you will read elsewhere, the bizarre angle of the footwell makes achieving a comfortable sleeping position nigh on impossible. If you're going to splash out you might aswell use Emirates or Qatar and get similar service but with a more practical bed.

Truly disappointing overall, cancelled my return flights and travelled back with Qatar. Never again SIA I'm afraid.",0.1,0.781,0.118,0.3419,0.8625233769416809,0.11032745987176895,0.02714926190674305,1
"We were disappointed with the SQ for the following reasons:
1.  No amenities kit for business class. One has to ask for each item ( socks, slippers, ear plugs, eyes mask, lotion……..) individually 
2.  Only two meals were offered on an 18 hours flight. The rest are only snacks for you to ask
3.  Wi Fi were unstable on and off for the whole flight. It’s very frustrating to get any work done
4.  Lie flat seat need flight attendant to help set up
5.  The “chicken rice” meal I had was inedible. The meat was hard and dry. I guessed it’s because of being reheated too many time",0.108,0.869,0.023,-0.8268,0.9380296468734741,0.05628231540322304,0.005688042845577002,2
"Third flight of 4 we have on this trip and this was the worst though none have been very good.
Seats - very uncomfortable with large gaps between rear of the seat; cushion too thick so uncomfortable; a stupid calf extender which adds nothing to the comfort on a long haul.
Drinks service - very poor. Plastic cups for gin & tonic and also wine! Really? In Premium. Even worse with 2nd drinks service as wine given in cardboard cup as ran out of plastic. White wine was only Chardonnay- no choice! In Premium?
Meals - bland.
Entertainment- very poor and limited choice of both films and tv shows.

Will never book Singapore for Premium again.",0.231,0.725,0.045,-0.9747,0.9541637897491455,0.039443228393793106,0.006393062882125378,1
"Singapore Airlines feedback channel is one of the worst in the industry. Not only do they ignore customer feedback and request all the time, they also reply in a rude and unapologetic manner when eventually they do.

I have no idea where SQ hires all these customer service personnel from? Those that I have interacted with are ethnic Indians, so can i presume they are outsourced to India? 

For 2 incidents, I have feedback to SQ due to poor flying experiences. Both times, they never replied me, even after I sent 3-4 reminders. 

For the second incident, which was in January this year. I boarded a flight from Melbourne to Singapore. It was a very turbulent flight. And the kids on the flight were crying. But the air stewardess did nothing to solve the discomfort of these kids. 

In the meantime, the kid has urinated all over the seat and the urine has dripped into my bag which was stored under the seat. 

I complained through the feedback line. And the airline did not respond after even 3 weeks. I wrote 2 reminders, and only in the second reminder, when I threatened to escalate the complain did they reply.

In their reply, it was curt and abrupt. It was not apologetic, nor did it show that they cared very much. 

They said that since it was caused by another passenger, it was no responsibility of the airline. And hence they could not do anything about it. 

They did not attempt to help at all. 

I also, in my original complain, and in the 2 reminders, asked them to issue a Damage report, so I can go ahead to claim from my insurance. I had shown the leading stewardess during the flight what is the extent of the damage. And so I wanted a damage report. 

This was conveniently forgotten in the reply. I wrote a 3rd reminder, and they have yet to respond to it. 

This is the poor quality of the customer service that you get from Singapore Airlines. They dont really care about you, yet they charge astranomical prices for your airfares. While year by year, they are dropping from (once) the top airline in the world, now not even in the top 10.

I think there is something seriously wrong with the airline. 

The CEO is engrossed in cutting corners, from serving food in cardboard boxes to lowering the service standards of their steward crew, claiming it is COVID. At the rate this is going, Singapore Airlines will soon join the league of cheap but lousy local airlines that is common in the US. It will be a shadow of what it used to be.",0.158,0.81,0.033,-0.9956,0.92696613073349,0.06698817759752274,0.006045621819794178,1
"It's taken a long time before I could bring myself to write this review, such was my level of disappointment with this airline. My husband had recently retired and this was our retirement gift to ourselves after years of working and raising a family. Needless to say, we paid a small fortune. To begin our sad tale, due to some glitch, we weren't seated together so we travelled all the way to Paris one behind the other.  There was no personal amenities pack - you had to ask for a sleeping mask, socks, toothbrush and toothpaste.  The aircraft was old, the food was only just edible and the blanket was smelly. Service was not what I expected -  we were invisible until they were collecting rubbish.  On the return flight, I had a bit of chest congestion and I asked the attendant for a sick bag and when she brought it, she told me to take it to the toilet when I was finished with it. The last straw was a meal that was supposed to be a beef stir fry but it was a dried up stew arrangement that was completely grey in colour. This was definitely not my expectation of Business Class, and, as we are 71 and 69 years of age, I think they could have done better. We have flown with this airline on numerous occasions but I will never, ever do it again. I know that my absence won't make much difference to their annual profit but I feel better for having made that decision.",0.031,0.896,0.073,0.9159,0.8610895872116089,0.12017253041267395,0.01873795874416828,1
